1	Streit	Streit	_	NN	nom|sg|masc	0	S	_	_
2	über	über	_	APPR	_	1	PP	_	_
3	Anschlag	Anschlag	_	NN	acc|sg|masc	2	PN	_	_

1	Zwischen	zwischen	_	APPR	_	7	PP	_	_
2	den	der	_	ART	dat|pl|neut	3	DET	_	_
3	Ländern	Land	_	NN	dat|pl|neut	1	PN	_	_
4	Groß-Britannien	Groß-Britannie	_	NE	dat|pl|neut	3	GMOD	_	_
5	und	und	_	KON	_	4	KON	_	_
6	Russland	Russland	_	NE	dat|sg|neut	5	CJ	_	_
7	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
8	es	es	_	PPER	nom|sg|neut|3	7	SUBJ	_	_
9	großen	groß	_	ADJA	acc|pl|masc|pos	10	ATTR	_	_
10	Ärger	Ärger	_	NN	acc|pl|masc	7	OBJA	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Dabei	dabei	_	PROAV	_	10	DET	_	_
2	geht	gehen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
4	um	um	_	APPR	_	2	PP	_	_
5	einen	ein	_	ART	acc|sg|masc	6	DET	_	_
6	Anschlag	Anschlag	_	NN	acc|sg|masc	4	PN	_	_
7	auf	auf	_	APPR	_	2	PP	_	_
8	einen	ein	_	ART	acc|sg|masc	10	DET	_	_
9	früheren	früh	_	ADJA	acc|sg|masc|comp	10	ATTR	_	_
10	Spion	Spion	_	NN	acc|sg|masc	7	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Groß-Britannien	Groß-Britannien	_	NE	nom|sg|neut	2	OBJA	_	_
2	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Russland	Russland	_	NE	nom|sg|neut	5	PRED	_	_
5	ist	sein	_	VAFIN	sg|3|pres|ind	2	S	_	_
6	dafür	dafür	_	PROAV	_	5	DET	_	_
7	verantwortlich	verantwortlich	_	ADJD	pos	5	ADV	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Zur	zu	_	APPRART	dat|sg|fem	3	PP	_	_
2	Strafe	Strafe	_	NN	dat|sg|fem	1	PN	_	_
