1	Minister	Minister	_	NN	nom|sg|masc	0	S	_	_
2	für	für	_	APPR	_	1	PP	_	_
3	Auto·rallye	Auto·rallye	_	NN	acc|pl|masc	2	PN	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Auto·rennen	Auto·renn	_	NN	nom|sg|neut	4	SUBJ	_	_
3	ADAC-Deutschland-Rallye	ADAC-Deutschland-Rallye	_	NN	nom|sg|masc	2	APP	_	_
4	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
5	auch	auch	_	ADV	_	6	ADV	_	_
6	im	in	_	APPRART	dat|sg|neut	11	PP	_	_
7	nächsten	nächster	_	ADJA	dat|sg|neut|pos	8	ATTR	_	_
8	Jahr	Jahr	_	NN	dat|sg|neut	6	PN	_	_
9	im	in	_	APPRART	dat|sg|neut	11	PP	_	_
10	Saarland	Saarland	_	NE	dat|sg|neut	9	PN	_	_
11	statt·finden	statt·finden	_	VVINF	_	4	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Sport·minister	Sport·minister	_	NN	nom|sg|masc	4	SUBJ	_	_
2	Klaus	Klaus	_	NE	nom|sg|masc	1	APP	_	_
3	Bouillon	Bouillon	_	NE	nom|sg|masc	2	APP	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	das	der	_	ART	acc|sg|neut	6	DET	_	_
6	Geld	Geld	_	NN	acc|sg|neut	14	OBJA	_	_
7	für	für	_	APPR	_	6	PP	_	_
8	das	der	_	ART	acc|sg|neut	9	DET	_	_
9	Rennen	rennen	_	NN	acc|sg|neut	7	PN	_	_
10	im	in	_	APPRART	dat|sg|neut	9	PP	_	_
11	Jahr	Jahr	_	NN	dat|sg|neut	10	PN	_	_
12	2020	2020	_	CARD	_	11	ZEIT	_	_
13	bereits	bereits	_	ADV	_	14	ADV	_	_
14	versprochen	versprechen	_	VVPP	_	4	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	diesem	dieser	_	PDAT	dat|sg|neut	3	DET	_	_
3	Jahr	Jahr	_	NN	dat|sg|neut	1	PN	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	4	OBJA	_	_
6	Kritik	Kritik	_	NN	acc|sg|fem	16	OBJA	_	_
7	von	von	_	APPR	_	6	PP	_	_
8	Bauern	Bauer	_	NN	dat|pl|masc	7	PN	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	Anwohnern	Anwohner	_	NN	dat|pl|masc	8	KON	_	_
11	und	und	_	KON	_	10	KON	_	_
12	Umwelt·schützern	Umwelt·schützer	_	NN	dat|pl|masc	11	CJ	_	_
13	an	an	_	APPR	_	6	PP	_	_
14	dem	der	_	ART	dat|sg|masc	15	DET	_	_
15	Rennen	rennen	_	NN	dat|sg|masc	13	PN	_	_
16	gegeben	geben	_	VVPP	_	4	AUX	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Das	der	_	ART	nom|sg|neut	5	DET	_	_
5	Auto·rennen	auto·rennen	_	NN	nom|sg|neut	6	SUBJ	_	_
6	ist	sein	_	VAFIN	sg|3|pres|ind	2	S	_	_
7	laut	laut	_	ADJD	pos	6	ADV	_	_
8	und	und	_	KON	_	0	S	_	_
9	zerstört	zerstören	_	ADJD	pos	11	ADV	_	_
10	die	der	_	ART	acc|sg|fem	11	DET	_	_
11	Natur	Natur	_	NN	acc|sg|fem	8	CJ	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Umwelt·minister	Umwelt·minister	_	NN	nom|sg|masc	4	OBJA	_	_
2	Reinhold	Reinhold	_	NE	nom|sg|masc	1	APP	_	_
3	Jost	Jost	_	NE	nom|sg|masc	2	APP	_	_
4	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Experten	Experte	_	NN	nom|pl|masc	0	S	_	_
7	haben	haben	_	VAFIN	pl|3|pres|ind	4	S	_	_
8	geprüft	prüfen	_	VVPP	_	7	AUX	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	ob	ob	_	KOUS	_	18	KONJ	_	_
11	das	der	_	ART	nom|sg|neut	12	DET	_	_
12	Rennen	rennen	_	NN	nom|sg|neut	18	SUBJ	_	_
13	die	der	_	ART	acc|sg|fem	14	DET	_	_
14	Natur	Natur	_	NN	acc|sg|fem	18	OBJA	_	_
15	und	und	_	KON	_	14	KON	_	_
16	die	der	_	ART	acc|sg|fem	17	DET	_	_
17	Umwelt	Umwelt	_	NN	acc|sg|fem	15	CJ	_	_
18	schädigt	schädigen	_	VVFIN	sg|3|pres|ind	8	OBJC	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Umwelt·verbände	Umwelt·verband	_	NN	nom|pl|masc	2	PRED	_	_
2	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	darüber	darüber	_	PROAV	_	4	DET	_	_
4	informiert	informieren	_	VVPP	_	5	AUX	_	_
5	worden	werden	_	VAPP	_	2	AUX	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Erst	erst	_	ADV	_	3	ADV	_	_
2	danach	danach	_	PROAV	_	1	DET	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	der	der	_	ART	nom|sg|masc	5	DET	_	_
5	Umwelt·minister	Umwelt·minister	_	NN	nom|sg|masc	6	OBJG	_	_
6	gesagt	sagen	_	VVPP	_	3	AUX	_	_
7	:	--	_	$.	_	0	ROOT	_	_
8	Das	der	_	ART	acc|sg|neut	9	DET	_	_
9	Rennen	rennen	_	NN	acc|sg|neut	10	AUX	_	_
10	darf	dürfen	_	VMFIN	sg|3|pres|ind	0	S	_	_
11	statt·finden	statt·finden	_	VVINF	_	10	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Im	in	_	APPRART	dat|sg|neut	4	PP	_	_
