1	Ärger	Ärger	_	NN	nom|sg|masc	0	S	_	_
2	um	um	_	APPR	_	1	PP	_	_
3	Botschafter	Botschafter	_	NN	nom|sg|masc	2	PN	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Botschafter	Botschafter	_	NN	nom|sg|masc	9	SUBJ	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	dem	der	_	ART	dat|sg|neut	5	DET	_	_
5	Land	Land	_	NN	dat|sg|neut	3	PN	_	_
6	USA	USA	_	NE	nom|pl|*	5	APP	_	_
7	in	in	_	APPR	_	2	PP	_	_
8	Deutschland	Deutschland	_	NE	dat|sg|neut	7	PN	_	_
9	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
10	Richard	Richard	_	NE	nom|sg|masc	9	PRED	_	_
11	Grenell	Grenell	_	NE	nom|sg|masc	10	APP	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Um	um	_	APPR	_	3	PP	_	_
2	ihn	ihn	_	PPER	acc|sg|masc|3	1	PN	_	_
3	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	es	es	_	PPER	nom|sg|neut|3	3	SUBJ	_	_
5	jetzt	jetzt	_	ADV	_	3	ADV	_	_
6	Ärger	Ärger	_	NN	acc|sg|masc	3	OBJA	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	in	in	_	APPR	_	8	PP	_	_
4	einem	ein	_	ART	dat|sg|masc	5	DET	_	_
5	Interview	Interview	_	NN	dat|sg|masc	3	PN	_	_
6	umstrittene	umstritten	_	ADJA	acc|pl|masc|pos	7	ATTR	_	_
7	Dinge	Ding	_	NN	acc|pl|masc	8	OBJA	_	_
8	gesagt	sagen	_	VVPP	_	2	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	%% Bild nl_A2 %%

1	Grenell	Grenell	_	NE	nom|sg|*	2	SUBJ	_	_
2	lebt	leben	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	seit	seit	_	APPR	_	2	PP	_	_
4	Mai	Mai	_	NN	dat|sg|masc	3	PN	_	_
5	in	in	_	APPR	_	2	PP	_	_
6	Berlin	Berlin	_	NE	dat|sg|neut	5	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	acc|pl|neut	4	DET	_	_
4	Interessen	Interesse	_	NN	acc|pl|neut	10	OBJA	_	_
5	von	von	_	APPR	_	4	PP	_	_
6	den	der	_	ART	dat|pl|*	7	DET	_	_
7	USA	USA	_	NE	dat|pl|*	5	PN	_	_
8	in	in	_	APPR	_	10	PP	_	_
9	Deutschland	Deutschland	_	NE	dat|sg|neut	8	PN	_	_
10	vertreten	vertreten	_	VVPP	_	2	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	Richard	Richard	_	NE	nom|sg|masc	2	SUBJ	_	_
4	Grenell	Grenell	_	NE	nom|sg|masc	3	APP	_	_
5	einem	ein	_	ART	dat|sg|masc	6	DET	_	_
6	Internet-Portal	Internet-Portal	_	NN	acc|sg|neut	9	OBJD	_	_
7	ein	ein	_	ART	acc|sg|neut	8	DET	_	_
8	Interview	Interview	_	NN	acc|sg|neut	9	OBJA	_	_
9	gegeben	geben	_	VVPP	_	2	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Portal	Portal	_	NN	nom|sg|neut	3	SUBJ	_	_
3	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	"	--	_	$(	*|*|*	0	ROOT	_	_
5	Breitbart	Breitbart	_	NE	nom|sg|*	3	PRED	_	_
6	"	--	_	$(	_	0	ROOT	_	_
7	und	und	_	KON	_	3	KON	_	_
8	ist	sein	_	VVFIN	sg|3|pres|ind	7	CJ	_	_
9	politisch	politisch	_	ADJD	pos	11	ADV	_	_
10	sehr	sehr	_	ADV	_	11	ADV	_	_
11	rechts	rechts	_	ADJD	_	8	PRED	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Grenell	Grenell	_	NE	nom|sg|*	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	in	in	_	APPR	_	6	PP	_	_
4	dem	der	_	ART	dat|sg|neut	5	DET	_	_
5	Interview	Interview	_	NN	dat|sg|neut	3	PN	_	_
6	gesagt	sagen	_	VVPP	_	2	AUX	_	_
7	:	--	_	$.	_	0	ROOT	_	_
8	Es	es	_	PPER	nom|sg|neut|3	9	EXPL	_	_
9	ist	sein	_	VVFIN	sg|3|pres|ind	6	S	_	_
10	eine	ein	_	ART	nom|sg|fem	12	DET	_	_
11	spannende	spannend	_	ADJA	nom|sg|fem|pos	12	ATTR	_	_
12	Zeit	Zeit	_	NN	nom|sg|fem	9	SUBJ	_	_
13	,	--	_	$,	_	0	ROOT	_	_
14	um	um	_	KOUI	_	18	KONJ	_	_
15	in	in	_	APPR	_	18	PP	_	_
16	Europa	Europa	_	NE	dat|sg|neut	15	PN	_	_
17	zu	zu	_	PTKZU	_	18	PART	_	_
18	leben	leben	_	VVINF	_	12	NEB	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Denn	denn	_	KON	_	0	S	_	_
2	überall	überall	_	ADV	_	3	ADV	_	_
3	in	in	_	APPR	_	5	PP	_	_
