1	Mann	Mann	_	NN	nom|sg|masc	0	S	_	_
2	muss	muss	_	NE	nom|sg|masc	1	APP	_	_
3	für	für	_	APPR	_	2	PP	_	_
4	4	4	_	CARD	_	5	ATTR	_	_
5	Jahre	Jahr	_	NN	acc|pl|neut	3	PN	_	_
6	ins	in	_	APPRART	acc|sg|neut	2	PP	_	_
7	Gefängnis	Gefängnis	_	NN	acc|sg|neut	6	PN	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	1	PN	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Prozess	Prozess	_	NN	nom|sg|masc	3	PRED	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|neut	2	DET	_	_
2	Prozess	Prozess	_	NN	nom|sg|neut	3	PRED	_	_
3	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Streit	Streit	_	NN	nom|sg|masc	3	SUBJ	_	_
6	vor	vor	_	APPR	_	5	PP	_	_
7	Gericht	Gericht	_	NN	dat|sg|neut	6	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	einem	ein	_	ART	dat|sg|masc	3	DET	_	_
3	Prozess	Prozess	_	NN	dat|sg|masc	1	PN	_	_
4	entscheidet	entscheiden	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	das	der	_	ART	nom|sg|neut	6	DET	_	_
6	Gericht	Gericht	_	NN	nom|sg|neut	4	SUBJ	_	_
7	:	--	_	$.	_	0	ROOT	_	_
8	•	LI	_	$.	nom|sg|masc	0	ROOT	_	_
9	Hat	haben	_	VAFIN	sg|3|pres|ind	4	S	_	_
10	ein	ein	_	ART	nom|sg|masc	11	DET	_	_
11	Mensch	Mensch	_	NN	nom|sg|masc	9	SUBJ	_	_
12	etwas	etwas	_	PIAT	*|*|*	13	DET	_	_
13	Verbotenes	verbotene	_	NN	acc|sg|neut	14	OBJA	_	_
14	getan	tun	_	VVPP	_	9	AUX	_	_
15	?	--	_	$.	_	0	ROOT	_	_
16	Dann	dann	_	ADV	_	17	ADV	_	_
17	bekommt	bekommen	_	VVFIN	sg|3|pres|ind	14	S	_	_
18	dieser	dieser	_	PDAT	nom|sg|masc	19	DET	_	_
19	Mensch	Mensch	_	NN	nom|sg|masc	17	SUBJ	_	_
20	eine	ein	_	ART	acc|sg|fem	21	DET	_	_
21	Strafe	Strafe	_	NN	acc|sg|fem	17	OBJA	_	_
22	.	--	_	$.	_	0	ROOT	_	_
23	•	LI	_	XY	nom|sg|fem	0	ROOT	_	_
24	Oder	Oder	_	NE	nom|sg|fem	9	KON	_	_
25	hat	haben	_	VAFIN	sg|3|pres|ind	24	CJ	_	_
26	ein	ein	_	ART	nom|sg|masc	27	DET	_	_
27	Mensch	Mensch	_	NN	nom|sg|masc	25	SUBJ	_	_
28	nichts	nichts	_	PIAT	*|*|neut	29	DET	_	_
29	Verbotenes	verbotener	_	NN	acc|sg|neut	30	OBJA	_	_
30	getan	tun	_	VVPP	_	25	AUX	_	_
31	?	--	_	$.	_	0	ROOT	_	_
32	Dann	dann	_	ADV	_	33	ADV	_	_
33	bekommt	bekommen	_	VVFIN	sg|3|pres|ind	30	S	_	_
34	dieser	dieser	_	PDAT	nom|sg|masc	35	DET	_	_
35	Mensch	Mensch	_	NN	nom|sg|masc	33	SUBJ	_	_
36	keine	kein	_	PIAT	acc|sg|fem	37	DET	_	_
37	Strafe	Strafe	_	NN	acc|sg|fem	33	OBJA	_	_
38	.	--	_	$.	_	0	ROOT	_	_

1	Bei	bei	_	APPR	_	4	PP	_	_
2	dem	der	_	ART	dat|sg|masc	3	DET	_	_
3	Prozess	Prozess	_	NN	dat|sg|masc	1	PN	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	das	der	_	ART	nom|sg|neut	6	DET	_	_
6	Gericht	Gericht	_	NN	nom|sg|neut	9	OBJD	_	_
7	einen	ein	_	ART	acc|sg|masc	8	DET	_	_
8	Mann	Mann	_	NN	acc|sg|masc	6	GMOD	_	_
9	verurteilt	verurteilen	_	VVPP	_	4	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Mann	Mann	_	NN	nom|sg|masc	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	nämlich	nämlich	_	ADV	_	10	ADV	_	_
5	mit	mit	_	APPR	_	10	PP	_	_
6	einem	ein	_	ART	dat|sg|neut	7	DET	_	_
7	Auto	Auto	_	NN	dat|sg|neut	5	PN	_	_
