	Arg1	Arg2	Conn1	Conn2	ExplConn	File	RelType	SClass1A	SClass1B	SClass2A	SClass2B	Sup1	Sup2
0	Viele junge Menschen erlernen einen Beruf im Handwerk oder in der Industrie	jeder 4. Auszubildende beendet seine Lehre nicht	NA	NA	Doch	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Explicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
1	Doch jeder 4. Auszubildende beendet seine Lehre nicht	Besonders häufig beenden Lehrlinge im Sicherheits-Gewerbe vorzeitig ihre Ausbildung	NA	NA	Besonders häufig	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	AltLex	Expansion.Instantiation.Arg2-as-instance	NA	NA	NA	Das ist der höchste Wert seit Jahren	NA
2	Besonders häufig beenden Lehrlinge im Sicherheits-Gewerbe vorzeitig ihre Ausbildung	Hier ist es jeder 2. Auszubildende, der seinen Vertrag früher beendet	nämlich	NA	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
3	Besonders häufig beenden Lehrlinge im Sicherheits-Gewerbe vorzeitig ihre Ausbildung	Besonders viele Abbrecher gibt es...im Dienstleistungs-Bereich	NA	NA	auch	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Explicit	Expansion.Conjunction	Comparison.Similarity	NA	NA	NA	also: Köche, Restaurant- und Hotel-Fachkräfte, Gebäude-Reiniger oder Gerüst-Bauer
4	Besonders viele Abbrecher gibt es auch im Dienstleistungs-Bereich, also: Köche, Restaurant- und Hotel-Fachkräfte, Gebäude-Reiniger oder Gerüst-Bauer	Der Deutsche Gewerkschafts-Bund vertritt die Interessen der Arbeitnehmer	NA	NA	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	EntRel	NA	NA	NA	NA	NA	NA
5	Der Deutsche Gewerkschafts-Bund vertritt die Interessen der Arbeitnehmer	Der Gewerkschafts-Bund sagt: Die jungen Menschen müssen viele Überstunden machen und bekommen zu wenig Geld. Auch gibt es oft Streit mit den Ausbildern im Betrieb	indem	NA	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Implicit	Expansion.Manner.Arg2-as-manner	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA
6	Die jungen Menschen müssen viele Überstunden machen und bekommen zu wenig Geld	gibt es oft Streit mit den Ausbildern im Betrieb	NA	NA	Auch	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
7	Der Gewerkschafts-Bund sagt: Die jungen Menschen müssen viele Überstunden machen und bekommen zu wenig Geld. Auch gibt es oft Streit mit den Ausbildern im Betrieb	Die Unternehmer sehen das anders	aber	NA	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Implicit	Comparison.Contrast	NA	NA	NA	NA	NA
8	Die Unternehmer sehen das anders	Sie sagen: Die jungen Menschen haben falsche Vorstellungen von der Arbeits-Welt. Sie haben oft auch keine Motivation oder eine schlechte Schul-Ausbildung	und zwar	NA	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
9	Die jungen Menschen haben falsche Vorstellungen von der Arbeits-Welt	Sie haben oft...keine Motivation oder eine schlechte Schul-Ausbildung	NA	NA	auch	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
10	Sie sagen: Die jungen Menschen haben falsche Vorstellungen von der Arbeits-Welt. Sie haben oft auch keine Motivation oder eine schlechte Schul-Ausbildung	Nicht alle Jugendlichen, die ihre Lehrstelle verlassen, sind anschließend arbeitslos	jedoch	NA	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
11	Nicht alle Jugendlichen, die ihre Lehrstelle verlassen, sind anschließend arbeitslos	Knapp die Hälfte sucht sich einen besseren Job	nämlich	stattdessen	NA	jeder-4-bricht-lehre-ab.2042.de.html__dram_article__id=414832.txt	Implicit	Contingency.Cause.Reason	Expansion.Level-of-detail.Arg2-as-detail	Expansion.Substitution.Arg2-as-subst	NA	NA	NA
12	Nach den Demonstrationen in Chemnitz hat es dort ein Konzert gegen Rechts gegeben	streiten die Menschen darüber, ob es in der Stadt wirklich zu Hetz-Jagden gegen Ausländer gekommen ist	NA	NA	Außerdem	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Explicit	Expansion.Conjunction	NA	NA	NA	NA	NA
13	Außerdem streiten die Menschen darüber, ob es in der Stadt wirklich zu Hetz-Jagden gegen Ausländer gekommen ist	In Chemnitz hat es in den vergangenen Tagen viele Demonstrationen gegeben	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
14	In Chemnitz hat es in den vergangenen Tagen viele Demonstrationen gegeben	Daran haben auch Neo-Nazis und Hooligans aus ganz Deutschland teilgenommen	NA	NA	Daran	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	AltLex	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
15	In Chemnitz hat es in den vergangenen Tagen viele Demonstrationen gegeben	Der Auslöser war der Tod von einem 35-jährigen Mann	NA	NA	Der Auslöser	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	AltLex	Contingency.Cause.Reason	Temporal.Asynchronous.Succession	NA	NA	NA	NA
16	Der Auslöser war der Tod von einem 35-jährigen Mann	Er ist auf dem Stadt-Fest erstochen worden	nämlich	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Implicit	Expansion.Level-of-detail.Arg2-as-detail	NA	NA	NA	NA	NA
17	Er ist auf dem Stadt-Fest erstochen worden	Die Täter sollen Flüchtlinge aus Syrien und dem Irak sein	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
18	Die Täter sollen Flüchtlinge aus Syrien und dem Irak sein	Bei den Demonstrationen wurden...auch ausländer-feindliche Sprüche gebrüllt	NA	NA	deshalb	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Explicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
19	Bei den Demonstrationen wurden deshalb auch ausländer-feindliche Sprüche gebrüllt	Viele Menschen in ganz Deutschland sind entsetzt gewesen	jedoch	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Implicit	Comparison.Concession.Arg2-as-denier	NA	NA	NA	NA	NA
20	Viele Menschen in ganz Deutschland sind entsetzt gewesen	sie die vielen Rechts-Radikalen gesehen haben	NA	NA	als	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Explicit	Contingency.Cause.Reason	Temporal.Synchronous	NA	NA	NA	NA
21	Viele Menschen in ganz Deutschland sind entsetzt gewesen, als sie die vielen Rechts-Radikalen gesehen haben	"Die Musik-Gruppe ""Die Toten Hosen"" hat mit anderen Musikern ein Konzert gegen Rechts in Chemnitz organisiert"	deshalb	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	Implicit	Contingency.Cause.Result	NA	NA	NA	NA	NA
22	"Die Musik-Gruppe ""Die Toten Hosen"" hat mit anderen Musikern ein Konzert gegen Rechts in Chemnitz organisiert"	"Das Motto war ""Wir sind mehr"	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
23	"Das Motto war ""Wir sind mehr"	Es sind 65.000 Menschen gekommen	NA	NA	NA	konzert-gegen-rechts.2042.de.html__dram_article__id=427427.txt	EntRel	NA	NA	NA	NA	NA	NA
