1	Beton	Beton	_	NN	_	0	S	_	_
2	kaputt	kaputt	_	ADJD	pos	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_

1	Flugzeuge	Flugzeug	_	NN	nom|pl|neut	2	SUBJ	_	_
2	können	können	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	nicht	nicht	_	PTKNEG	_	4	ADV	_	_
4	starten	starten	_	VVINF	_	2	AUX	_	_

1	Am	an	_	APPRART	dat|sg|neut	5	PP	_	_
2	Flughafen	Flughafen	_	NN	dat|sg|neut	1	PN	_	_
3	von	von	_	APPR	_	2	PP	_	_
4	Hannover	Hannover	_	NE	dat|sg|neut	3	PN	_	_
5	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
6	Flüge	Flug	_	NN	nom|pl|masc	5	SUBJ	_	_
7	ausgefallen	ausfallen	_	VVPP	_	5	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Hannover	Hannover	_	NE	nom|sg|neut	2	SUBJ	_	_
2	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|sg|fem	4	DET	_	_
4	Haupt·stadt	Hauptstadt	_	NN	nom|sg|fem	2	PRED	_	_
5	von	von	_	APPR	_	4	PP	_	_
6	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	5	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Eine	ein	_	ART	nom|sg|fem	2	DET	_	_
2	Start·bahn	Startbahn	_	NN	nom|sg|fem	5	SUBJ	_	_
3	vom	von	_	APPRART	dat|sg|neut	2	PP	_	_
4	Flughafen	Flughafen	_	NN	dat|sg|neut	3	PN	_	_
5	war	sein	_	VVFIN	sg|3|past|ind	0	S	_	_
6	nämlich	nämlich	_	ADV	_	5	ADV	_	_
7	kaputt	kaputt	_	ADJD	pos	5	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Eine	ein	_	ART	nom|sg|fem	2	DET	_	_
2	Start·bahn	Startbahn	_	NN	nom|sg|fem	3	SUBJ	_	_
3	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	eine	ein	_	ART	nom|sg|fem	5	DET	_	_
