1	Neuer	neu	_	ADJA	nom|sg|masc|pos	2	ATTR	_	_
2	Job	Job	_	NN	nom|sg|masc	0	S	_	_
3	für	für	_	APPR	_	2	PP	_	_
4	Gabriel	Gabriel	_	NE	acc|sg|*	3	PN	_	_

1	Sigmar	Sigmar	_	NE	nom|sg|masc	3	SUBJ	_	_
2	Gabriel	Gabriel	_	NE	nom|sg|masc	1	APP	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	in	in	_	APPR	_	3	PP	_	_
5	Deutschland	Deutschland	_	NE	dat|sg|neut	4	PN	_	_
6	Wirtschafts-	Wirtschaft	_	TRUNC	_	3	PRED	_	_
7	und	und	_	KON	_	6	KON	_	_
8	Außen-Minister	Außen-Minister	_	NN	nom|sg|masc	7	CJ	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
4	einen	ein	_	ART	acc|sg|masc	6	DET	_	_
5	neuen	neu	_	ADJA	acc|sg|masc|pos	6	ATTR	_	_
6	Job	Job	_	NN	acc|sg|masc	11	ADV	_	_
7	bei	bei	_	APPR	_	11	PP	_	_
8	einem	ein	_	ART	dat|sg|masc	10	DET	_	_
9	großen	groß	_	ADJA	dat|sg|masc|pos	10	ATTR	_	_
10	Unternehmen	Unternehmen	_	NN	dat|sg|masc	7	PN	_	_
11	bekommen	bekommen	_	VVINF	_	2	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Opposition	Opposition	_	NN	nom|sg|masc	3	OBJA	_	_
3	gefällt	fällen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	das	der	_	PDS	acc|sg|neut	3	OBJA	_	_
5	nicht	nicht	_	PTKNEG	_	3	ADV	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Sigmar	Sigmar	_	NE	nom|sg|*	3	OBJA	_	_
2	Gabriel	Gabriel	_	NE	nom|sg|*	1	APP	_	_
3	bekommt	bekommen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	einen	ein	_	ART	acc|sg|masc	5	DET	_	_
5	Job	Job	_	NN	acc|sg|masc	3	OBJA	_	_
6	bei	bei	_	APPR	_	5	PP	_	_
7	dem	der	_	ART	dat|sg|masc	9	DET	_	_
8	geplanten	geplant	_	ADJA	dat|sg|masc|pos	9	ATTR	_	_
9	Konzern	Konzern	_	NN	dat|sg|masc	6	PN	_	_
10	Siemens-Alstom	Siemens-Alstom	_	NE	nom|sg|*	9	APP	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Er	er	_	PPER	nom|sg|masc|3	2	SUBJ	_	_
2	wird	werden	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	Mitglied	Mitglied	_	NN	nom|sg|neut	2	PRED	_	_
4	im	in	_	APPRART	dat|sg|masc	2	PRED	_	_
5	Verwaltungs-Rat	Verwaltungs-Rat	_	NN	dat|sg|masc	4	PN	_	_
