1	Pauline	Paulin	_	NE	nom|sg|fem	3	SUBJ	_	_
2	Schäfer	Schäfer	_	NE	nom|sg|fem	1	APP	_	_
3	kann	können	_	VMFIN	sg|3|pres|ind	0	S	_	_
4	nicht	nicht	_	PTKNEG	_	3	ADV	_	_
5	zur	zu	_	APPRART	dat|sg|fem	3	PP	_	_
6	WM	WM	_	NN	dat|sg|fem	5	PN	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Turnerin	Turnerin	_	NN	nom|sg|fem	23	OBJA	_	_
3	Pauline	Pauline	_	NE	nom|sg|fem	2	APP	_	_
4	Schäfer	Schäfer	_	NE	nom|sg|*	3	APP	_	_
5	aus	aus	_	APPR	_	4	PP	_	_
6	dem	der	_	ART	dat|sg|neut	7	DET	_	_
7	Saarland	Saarland	_	NE	dat|sg|neut	5	PN	_	_
8	kann	können	_	VMFIN	sg|3|pres|ind	0	S	_	_
9	nicht	nicht	_	PTKNEG	_	23	ADV	_	_
10	bei	bei	_	APPR	_	23	PP	_	_
11	der	der	_	ART	dat|sg|fem	12	DET	_	_
12	Weltmeisterschaft	Weltmeisterschaft	_	NN	dat|sg|fem	10	PN	_	_
13	(	--	_	$(	_	0	ROOT	_	_
14	WM	WM	_	NE	dat|sg|fem	12	APP	_	_
15	)	--	_	$(	_	0	ROOT	_	_
16	in	in	_	APPR	_	12	PP	_	_
17	der	der	_	ART	dat|sg|fem	18	DET	_	_
18	Stadt	Stadt	_	NN	dat|sg|fem	16	PN	_	_
19	Doha	Doha	_	NE	nom|sg|neut	18	APP	_	_
20	im	in	_	APPRART	dat|sg|neut	19	PP	_	_
21	Land	Land	_	NN	dat|sg|neut	20	PN	_	_
22	Katar	Katar	_	NE	nom|sg|*	21	APP	_	_
23	mitmachen	mitmachen	_	VVINF	_	8	AUX	_	_
24	.	--	_	$.	_	0	ROOT	_	_

1	Pauline	Pauline	_	NE	nom|sg|fem	3	SUBJ	_	_
2	Schäfer	Schäfer	_	NE	nom|sg|fem	1	APP	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	sich	sich	_	PRF	acc|sg|3	12	OBJA	_	_
5	bei	bei	_	APPR	_	12	PP	_	_
6	der	der	_	ART	dat|sg|fem	7	DET	_	_
7	Qualifikation	Qualifikation	_	NN	dat|sg|fem	5	PN	_	_
8	zur	zu	_	APPRART	dat|sg|fem	12	PP	_	_
9	WM	WM	_	NN	dat|sg|fem	8	PN	_	_
10	den	der	_	ART	acc|sg|masc	11	DET	_	_
11	Fuß	Fuß	_	NN	acc|sg|masc	9	GMOD	_	_
12	verletzt	verletzen	_	VVPP	_	3	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	WM	WM	_	NN	nom|sg|fem	3	SUBJ	_	_
3	findet	finden	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	vom	von	_	APPRART	dat|sg|masc	3	PP	_	_
5	25.	25.	_	ADJA	dat|sg|masc|pos	6	ATTR	_	_
6	Oktober	Oktober	_	NN	dat|sg|masc	4	PN	_	_
7	bis	bis	_	APPR	_	3	PP	_	_
8	3.	3.	_	ADJA	acc|sg|masc|pos	9	ATTR	_	_
9	November	November	_	NN	acc|sg|masc	7	PN	_	_
10	statt	statt	_	PTKVZ	_	3	AVZ	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Im	in	_	APPRART	dat|sg|neut	4	PP	_	_
2	letzten	letzter	_	ADJA	dat|sg|neut|pos	3	ATTR	_	_
3	Jahr	Jahr	_	NN	dat|sg|neut	1	PN	_	_
4	hatte	haben	_	VAFIN	sg|3|past|ind	0	S	_	_
5	Pauline	Pauline	_	NE	nom|sg|masc	12	OBJD	_	_
6	Schäfer	Schäfer	_	NE	nom|sg|masc	5	APP	_	_
7	bei	bei	_	APPR	_	12	PP	_	_
8	der	der	_	ART	dat|sg|fem	9	DET	_	_
9	WM	WM	_	NN	dat|sg|fem	7	PN	_	_
10	die	der	_	ART	acc|sg|fem	11	DET	_	_
11	Gold·medaille	Gold·medaille	_	NN	acc|sg|fem	9	GMOD	_	_
12	gewonnen	gewinnen	_	VVPP	_	4	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
3	die	der	_	ART	nom|sg|fem	5	DET	_	_
4	1.	1	_	CARD	_	5	ATTR	_	_
5	Gold·medaille	Gold·medaille	_	NN	nom|sg|fem	2	PRED	_	_
6	bei	bei	_	APPR	_	5	PP	_	_
7	einer	ein	_	ART	dat|sg|fem	8	DET	_	_
8	WM	WM	_	NN	dat|sg|fem	6	PN	_	_
9	für	für	_	APPR	_	8	PP	_	_
10	eine	ein	_	ART	acc|sg|fem	11	DET	_	_
11	Turnerin	Turnerin	_	NN	acc|sg|fem	9	PN	_	_
12	aus	aus	_	APPR	_	11	PP	_	_
13	Deutschland	Deutschland	_	NE	dat|sg|neut	12	PN	_	_
14	seit	seit	_	APPR	_	11	PP	_	_
15	mehr	mehr	_	PIAT	*|*|*	18	DET	_	_
16	als	als	_	KOKOM	_	1	KOM	_	_
17	30	30	_	CARD	_	16	CJ	_	_
18	Jahren	Jahr	_	NN	dat|pl|neut	14	PN	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	Pauline	Pauline	_	NE	nom|sg|fem	12	ETH	_	_
4	Schäfer	Schäfer	_	NE	nom|sg|fem	3	APP	_	_
5	für	für	_	APPR	_	4	PP	_	_
6	die	der	_	ART	acc|sg|fem	7	DET	_	_
7	WM	WM	_	NE	acc|sg|fem	5	PN	_	_
8	2019	2019	_	CARD	_	7	APP	_	_
9	in	in	_	APPR	_	7	PP	_	_
10	Stuttgart	Stuttgart	_	NE	dat|sg|neut	9	PN	_	_
11	fit	fit	_	ADJD	pos	12	ADV	_	_
12	sein	sein	_	VAINF	_	2	AUX	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Pauline	Pauline	_	NE	nom|sg|fem	3	SUBJ	_	_
2	Schäfer	Schäfer	_	NE	nom|sg|fem	1	APP	_	_
