1	31.	31.	_	ADJA	nom|sg|masc|pos	2	ATTR	_	_
2	Oktober	Oktober	_	NN	nom|sg|masc	3	SUBJ	_	_
3	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
4	Feier·tag	Feiertag	_	NN	nom|sg|masc	5	PRED	_	_
5	werden	werden	_	VVINF	_	3	AUX	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Hamburg	Hamburg	_	NE	dat|sg|neut	1	PN	_	_
3	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	es	es	_	PPER	nom|sg|neut|3	3	SUBJ	_	_
5	wahrscheinlich	wahrscheinlich	_	ADJD	pos	3	ADV	_	_
6	bald	bald	_	ADV	_	3	ADV	_	_
7	einen	ein	_	ART	acc|sg|masc	9	DET	_	_
8	neuen	neu	_	ADJA	acc|sg|masc|pos	9	ATTR	_	_
9	Feier·tag	Feiertag	_	NN	acc|sg|masc	3	OBJA	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	An	an	_	APPR	_	4	PP	_	_
2	einem	ein	_	ART	dat|sg|masc	3	DET	_	_
3	Feier·tag	Feiertag	_	NN	dat|sg|masc	1	PN	_	_
4	müssen	müssen	_	VMFIN	pl|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|pl|masc	7	DET	_	_
6	meisten	meister	_	PIAT	nom|pl|masc	7	DET	_	_
7	Menschen	Mensch	_	NN	nom|pl|masc	4	SUBJ	_	_
8	nicht	nicht	_	PTKNEG	_	9	ADV	_	_
9	arbeiten	arbeiten	_	VVINF	_	4	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|masc	2	DET	_	_
2	Feier·tag	Feiertag	_	NN	nom|sg|masc	3	PRED	_	_
3	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	zum	zu	_	APPRART	dat|sg|neut	3	PP	_	_
5	Beispiel	Beispiel	_	NN	dat|sg|neut	4	PN	_	_
6	Neu·jahr	Neujahr	_	NN	nom|sg|neut	3	SUBJ	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Neu·jahr	Neujahr	_	NN	nom|sg|neut	2	SUBJ	_	_
2	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	immer	immer	_	ADV	_	2	ADV	_	_
4	am	an	_	APPRART	dat|sg|masc	2	PP	_	_
5	1.	1.	_	ADJA	dat|sg|masc|pos	6	ATTR	_	_
6	Januar	Januar	_	NN	dat|sg|masc	4	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Viele	vieler	_	PIAT	nom|pl|masc	2	DET	_	_
2	Politiker	Politiker	_	NN	nom|pl|masc	5	SUBJ	_	_
3	in	in	_	APPR	_	2	PP	_	_
4	Hamburg	Hamburg	_	NE	dat|sg|neut	3	PN	_	_
5	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
6	nämlich	nämlich	_	ADV	_	7	ADV	_	_
7	gesagt	sagen	_	VVPP	_	5	AUX	_	_
8	:	--	_	$.	_	0	ROOT	_	_
9	In	in	_	APPR	_	11	PP	_	_
10	Hamburg	Hamburg	_	NE	dat|sg|neut	9	PN	_	_
11	gibt	geben	_	VVFIN	sg|3|pres|ind	7	S	_	_
12	es	es	_	PPER	nom|sg|neut|3	11	SUBJ	_	_
13	jedes	jeder	_	PIAT	acc|sg|neut	14	DET	_	_
14	Jahr	Jahr	_	NN	acc|sg|neut	11	ZEIT	_	_
15	nur	nur	_	ADV	_	16	ADV	_	_
16	9	9	_	CARD	_	17	ATTR	_	_
17	Feier·tage	Feiertag	_	NN	acc|pl|masc	11	OBJA	_	_
18	.	--	_	$.	_	0	ROOT	_	_

1	Aber	aber	_	KON	_	0	S	_	_
2	in	in	_	APPR	_	6	PP	_	_
3	vielen	vieler	_	PIAT	dat|pl|masc	5	DET	_	_
4	anderen	anderer	_	ADJA	dat|pl|masc|pos	5	ATTR	_	_
5	Bundes·ländern	Bundesland	_	NN	dat|pl|masc	2	PN	_	_
6	gibt	geben	_	VVFIN	sg|3|pres|ind	1	CJ	_	_
7	es	es	_	PPER	nom|sg|neut|3	6	SUBJ	_	_
8	mehr	mehr	_	PIAT	*|*|*	9	DET	_	_
9	Feier·tage	Feiertag	_	NN	acc|pl|masc	6	OBJA	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	PP	_	_
2	soll	sollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
4	in	in	_	APPR	_	10	PP	_	_
5	Hamburg	Hamburg	_	NE	dat|sg|neut	4	PN	_	_
6	bald	bald	_	ADV	_	10	ADV	_	_
7	einen	ein	_	ART	acc|sg|masc	9	DET	_	_
8	neuen	neu	_	ADJA	acc|sg|masc|pos	9	ATTR	_	_
9	Feier·tag	Feiertag	_	NN	acc|sg|masc	10	OBJA	_	_
10	geben	geben	_	VVINF	_	2	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Jetzt	jetzt	_	ADV	_	2	ADV	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	sich	sich	_	PRF	acc|pl|3	8	OBJA	_	_
4	Politiker	Politiker	_	NN	nom|pl|masc	2	SUBJ	_	_
5	von	von	_	APPR	_	4	PP	_	_
6	mehreren	mehrere	_	PIAT	dat|pl|fem	7	DET	_	_
