1	Wasser	Wasser	_	NN	nom|sg|neut	0	S	_	_
2	in	in	_	APPR	_	1	PP	_	_
3	Bade·seen	Bade·see	_	NE	dat|sg|neut	2	PN	_	_
4	sehr	sehr	_	ADV	_	5	ADV	_	_
5	sauber	sauber	_	ADV	_	1	ADV	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Wasser	Wasser	_	NN	nom|sg|neut	8	SUBJ	_	_
3	im	in	_	APPRART	dat|sg|neut	2	PP	_	_
4	Bostalsee	Bostalsee	_	NN	dat|sg|neut	3	PN	_	_
5	und	und	_	KON	_	3	KON	_	_
6	Losheimer	Losheimer	_	ADJA	*|*|*|pos	7	ATTR	_	_
7	Stausee	Stausee	_	NN	gen|sg|fem	5	CJ	_	_
8	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
9	sehr	sehr	_	ADV	_	10	ADV	_	_
10	sauber	sauber	_	ADJD	pos	8	PRED	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|masc	2	DET	_	_
2	Menschen	Mensch	_	NN	nom|pl|masc	7	OBJA	_	_
3	können	können	_	VMFIN	pl|3|pres|ind	0	S	_	_
4	ohne	ohne	_	APPR	_	7	PP	_	_
5	Bedenken	Bedenken	_	NN	dat|pl|neut	4	PN	_	_
6	darin	darin	_	PROAV	_	4	DET	_	_
7	schwimmen	schwimmen	_	VVINF	_	8	OBJI	_	_
8	gehen	gehen	_	VVINF	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	müssen	müssen	_	VMFIN	pl|3|pres|ind	0	S	_	_
3	keine	kein	_	PIAT	acc|sg|fem	4	DET	_	_
4	Angst	Angst	_	NN	acc|sg|fem	5	OBJA	_	_
5	haben	haben	_	VAINF	_	2	AUX	_	_
6	,	--	_	$,	_	0	ROOT	_	_
7	krank	krank	_	ADJD	pos	9	ADV	_	_
8	zu	zu	_	PTKZU	_	9	PART	_	_
9	werden	werden	_	VAINF	_	5	KON	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|pl|fem	3	DET	_	_
2	saarländischen	saarländisch	_	ADJA	nom|pl|fem|pos	3	ATTR	_	_
3	Behörden	Behörde	_	NN	nom|pl|fem	10	OBJA	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	das	der	_	ART	acc|sg|neut	6	DET	_	_
6	Wasser	Wasser	_	NN	acc|sg|neut	10	OBJD	_	_
7	vor	vor	_	APPR	_	10	PP	_	_
8	wenigen	weniger	_	PIAT	dat|pl|fem	9	DET	_	_
9	Wochen	Woche	_	NN	dat|pl|fem	7	PN	_	_
10	untersucht	untersuchen	_	VVPP	_	4	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Dabei	dabei	_	PROAV	_	2	DET	_	_
2	wurden	werden	_	VAFIN	pl|3|past|ind	0	S	_	_
3	keine	kein	_	PIAT	nom|pl|masc	4	DET	_	_
4	Keime	Keim	_	NN	nom|pl|masc	5	OBJA	_	_
5	gefunden	finden	_	VVPP	_	2	AUX	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Im	in	_	APPRART	dat|sg|neut	4	PP	_	_
2	vergangenen	vergangen	_	ADJA	dat|sg|neut|pos	3	ATTR	_	_
3	Jahr	Jahr	_	NN	dat|sg|neut	1	PN	_	_
4	hatte	haben	_	VAFIN	sg|3|past|ind	0	S	_	_
5	auch	auch	_	ADV	_	7	ADV	_	_
6	der	der	_	ART	nom|sg|masc	7	DET	_	_
