1	Wie	wie	_	PWAV	_	2	ADV	_	_
2	geht	gehen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
4	weiter	weiter	_	ADV	_	2	ADV	_	_
5	bei	bei	_	APPR	_	2	PP	_	_
6	Neue	neu	_	NN	dat|sg|fem	5	PN	_	_
7	Halberg	Halberg	_	NE	*|*|*	6	APP	_	_
8	Guss	Guss	_	NE	nom|sg|*	7	APP	_	_
9	?	--	_	$.	_	0	ROOT	_	_

1	Beim	bei	_	APPRART	dat|sg|neut	3	PP	_	_
2	Unternehmen	Unternehmen	_	NN	dat|sg|neut	1	PN	_	_
3	Neue	neu	_	ADJA	nom|sg|masc|pos	4	ATTR	_	_
4	Halberg	Halberg	_	NE	nom|sg|masc	6	OBJA	_	_
5	Guss	Guss	_	NE	_	4	APP	_	_
6	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
7	es	es	_	PPER	nom|sg|neut|3	6	SUBJ	_	_
8	Streit	Streit	_	NN	acc|sg|masc	6	OBJA	_	_
9	:	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Unternehmen	Unternehmen	_	NN	nom|sg|neut	3	SUBJ	_	_
3	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
4	in	in	_	APPR	_	13	PP	_	_
5	der	der	_	ART	dat|sg|fem	6	DET	_	_
6	Stadt	Stadt	_	NN	dat|sg|fem	4	PN	_	_
7	Leipzig	Leipzig	_	NE	nom|sg|neut	6	APP	_	_
8	sein	sein	_	PPOSAT	acc|sg|neut	9	DET	_	_
9	Werk	Werk	_	NN	acc|sg|neut	13	OBJA	_	_
10	mit	mit	_	APPR	_	9	PP	_	_
11	700	700	_	CARD	_	12	ATTR	_	_
12	Mit·arbeitern	Mit·arbeiter	_	NN	dat|pl|masc	10	PN	_	_
13	schließen	schließen	_	VVINF	_	3	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	1	PN	_	_
3	sollen	sollen	_	VMFIN	pl|3|pres|ind	0	S	_	_
4	300	300	_	CARD	_	5	ATTR	_	_
5	Arbeits·plätze	Arbeits·platz	_	NN	nom|pl|masc	6	OBJA	_	_
6	weg·fallen	weg·fallen	_	VVINF	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Gewerkschaft	Gewerkschaft	_	NN	nom|sg|fem	3	ATTR	_	_
3	IG	IG	_	NN	nom|sg|fem	5	SUBJ	_	_
4	Metall	Metall	_	NN	nom|sg|neut	3	APP	_	_
5	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
6	das	der	_	PDS	acc|sg|neut	8	OBJA	_	_
7	nicht	nicht	_	PTKNEG	_	8	ADV	_	_
8	hin·nehmen	hin·nehmen	_	VVINF	_	5	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|sg|fem|3	2	SUBJ	_	_
2	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	acc|sg|fem	4	DET	_	_
4	Zukunft	Zukunft	_	NN	acc|sg|fem	7	OBJA	_	_
5	der	der	_	ART	gen|pl|neut	6	DET	_	_
6	Mit·arbeiter	Mit·arbeiter	_	NN	gen|pl|neut	4	GMOD	_	_
7	sichern	sichern	_	VVINF	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Unternehmen	Unternehmen	_	NN	nom|sg|neut	4	PN	_	_
3	Neue	neu	_	NN	*|*|*	2	APP	_	_
4	Halberg	Halberg	_	NE	nom|sg|*	0	S	_	_
5	Guss	Guss	_	NE	*|*|*	4	APP	_	_
6	und	und	_	KON	_	5	KON	_	_
7	die	der	_	ART	nom|sg|fem	8	DET	_	_
8	Gewerkschaft	Gewerkschaft	_	NN	nom|sg|fem	6	NP2	_	_
9	IG	IG	_	NN	nom|sg|fem	14	OBJD	_	_
10	Metall	Metall	_	NN	nom|sg|neut	9	APP	_	_
11	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
12	deshalb	deshalb	_	PROAV	_	11	DET	_	_
13	miteinander	miteinander	_	ADV	_	14	ADV	_	_
14	gesprochen	sprechen	_	VVPP	_	6	CJ	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Ein	ein	_	ART	nom|sg|masc	3	DET	_	_
2	ehemaliger	ehemalig	_	ADJA	nom|sg|masc|pos	3	ATTR	_	_
3	Richter	Richter	_	NN	nom|sg|masc	5	OBJD	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	versucht	versuchen	_	VVPP	_	4	AUX	_	_
6	,	--	_	$,	_	0	ROOT	_	_
7	zwischen	zwischen	_	APPR	_	10	PP	_	_
8	beiden	beide	_	PIS	dat|pl|masc	7	PN	_	_
9	zu	zu	_	PTKZU	_	10	PART	_	_
10	vermitteln	vermitteln	_	VVINF	_	5	OBJI	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Unternehmen	Unternehmen	_	NN	nom|pl|neut	4	SUBJ	_	_
2	und	und	_	KON	_	1	KON	_	_
3	Gewerkschaft	Gewerkschaft	_	NN	acc|sg|fem	2	CJ	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	aber	aber	_	ADV	_	8	ADV	_	_
6	keine	kein	_	PIAT	acc|sg|fem	7	DET	_	_
7	Lösung	Lösung	_	NN	acc|sg|fem	8	OBJA	_	_
8	gefunden	finden	_	VVPP	_	4	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	schwerer	schwer	_	ADJA	gen|pl|neut|comp	3	ATTR	_	_
3	Sprache	Sprache	_	NN	acc|sg|fem	1	PN	_	_
4	heißt	heißen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	das	der	_	PDS	nom|sg|neut	4	SUBJ	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	Die	der	_	ART	nom|sg|fem	8	DET	_	_
8	Schlichtung	Schlichtung	_	NN	nom|sg|fem	9	SUBJ	_	_
9	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
10	gescheitert	scheitern	_	VVPP	_	9	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Gewerkschaft	Gewerkschaft	_	NN	nom|sg|fem	3	ATTR	_	_
3	IG	IG	_	NN	nom|sg|fem	5	SUBJ	_	_
4	Metall	Metall	_	NN	nom|sg|neut	3	APP	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	zwischendurch	zwischendurch	_	ADV	_	8	ADV	_	_
7	auch	auch	_	ADV	_	8	ADV	_	_
8	gestreikt	streiken	_	VVPP	_	5	AUX	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	um	um	_	KOUI	_	14	KONJ	_	_
11	ihre	ihr	_	PPOSAT	acc|pl|neut	12	DET	_	_
12	Ziele	Ziel	_	NN	acc|pl|neut	14	OBJA	_	_
13	zu	zu	_	PTKZU	_	14	PART	_	_
14	erreichen	erreichen	_	VVINF	_	5	NEB	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Neue	neu	_	NN	nom|sg|fem	5	SUBJ	_	_
3	Halberg	Halberg	_	NE	nom|sg|*	2	APP	_	_
4	Guss	Guss	_	NE	nom|sg|*	3	APP	_	_
5	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
6	jetzt	jetzt	_	ADV	_	5	ADV	_	_
7	:	--	_	$.	_	0	ROOT	_	_
8	Vielleicht	vielleicht	_	ADV	_	9	ADV	_	_
9	werden	werden	_	VAFIN	pl|3|pres|ind	0	S	_	_
10	deshalb	deshalb	_	PROAV	_	14	DET	_	_
11	noch	noch	_	ADV	_	13	ADV	_	_
12	viel	viel	_	ADV	_	13	ADV	_	_
13	mehr	mehr	_	PIAT	*|*|*	14	DET	_	_
14	Arbeits·plätze	Arbeits·platz	_	NN	acc|pl|masc	15	OBJD	_	_
15	weg·fallen	weg·fallen	_	VVINF	_	9	AUX	_	_
16	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Unternehmen	Unternehmen	_	NN	nom|sg|neut	3	ETH	_	_
3	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	auch	auch	_	ADV	_	3	ADV	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Die	der	_	ART	nom|sg|fem	7	DET	_	_
7	Gewerkschaft	Gewerkschaft	_	NN	nom|sg|fem	8	SUBJ	_	_
8	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
9	so	so	_	ADV	_	11	ADV	_	_
10	lange	lange	_	ADV	_	11	ADV	_	_
11	gestreikt	streiken	_	VVPP	_	8	AUX	_	_
12	,	--	_	$,	_	0	ROOT	_	_
13	dass	daß	_	KOUS	_	19	KONJ	_	_
14	sich	sich	_	PRF	acc|pl|3	18	OBJA	_	_
15	Kunden	Kunde	_	NN	nom|pl|masc	18	ETH	_	_
16	andere	anderer	_	ADJA	acc|pl|fem|pos	17	ATTR	_	_
17	Firmen	Firma	_	NN	acc|pl|fem	19	SUBJ	_	_
18	gesucht	suchen	_	VVPP	_	19	AUX	_	_
19	haben	haben	_	VAFIN	pl|3|pres|ind	11	OBJC	_	_
20	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Gewerkschaft	Gewerkschaft	_	NN	nom|sg|fem	8	OBJA	_	_
3	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
4	weiter	weiter	_	ADV	_	8	ADV	_	_
5	mit	mit	_	APPR	_	8	PP	_	_
6	dem	der	_	ART	dat|sg|neut	7	DET	_	_
7	Unternehmen	Unternehmen	_	NN	dat|sg|neut	5	PN	_	_
8	sprechen	sprechen	_	VVINF	_	3	AUX	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	IG	IG	_	NN	nom|sg|fem	4	OBJA	_	_
3	Metall	Metall	_	NN	nom|sg|neut	2	APP	_	_
4	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Vielleicht	vielleicht	_	ADV	_	7	ADV	_	_
7	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
8	es	es	_	PPER	nom|sg|neut|3	7	SUBJ	_	_
9	einen	ein	_	ART	acc|sg|masc	10	DET	_	_
10	Neu·anfang	Neu·anfang	_	NN	acc|sg|masc	4	PAR	_	_
11	,	--	_	$,	_	0	ROOT	_	_
12	wenn	wenn	_	KOUS	_	18	KONJ	_	_
13	die	der	_	ART	nom|sg|fem	14	DET	_	_
14	Neue	neu	_	NN	nom|sg|fem	18	SUBJ	_	_
15	Halberg	Halberg	_	NE	nom|sg|*	14	APP	_	_
16	Guss	Guss	_	NE	nom|sg|*	15	APP	_	_
17	verkauft	verkaufen	_	VVPP	_	18	AUX	_	_
18	wird	werden	_	VAFIN	sg|3|pres|ind	7	NEB	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Neue	neu	_	NN	nom|sg|fem	3	ATTR	_	_
3	Halberg	Halberg	_	NE	nom|sg|*	5	OBJA	_	_
4	Guss	Guss	_	NE	acc|sg|*	3	APP	_	_
5	macht	machen	_	VVFIN	sg|3|pres|ind	0	S	_	_
6	Teile	Teil	_	NN	acc|pl|neut	5	OBJA	_	_
7	für	für	_	APPR	_	6	PP	_	_
8	die	der	_	ART	acc|pl|fem	9	DET	_	_
9	Motoren	Motor	_	NN	acc|pl|fem	7	PN	_	_
10	von	von	_	APPR	_	9	PP	_	_
11	Autos	Auto	_	NN	acc|pl|neut	10	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

