1	Räuber	Räuber	_	NN	nom|pl|masc	2	SUBJ	_	_
2	sprengen	sprengen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	Geld·automaten	Geldautomat	_	NN	nom|pl|masc	2	OBJA	_	_

1	Mehrere	mehrere	_	PIAT	nom|pl|neut	2	DET	_	_
2	Diebe	Dieb	_	NN	nom|pl|neut	3	SUBJ	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	am	an	_	APPRART	dat|sg|masc	25	PP	_	_
5	Montag	Montag	_	NN	dat|sg|masc	4	PN	_	_
6	(	--	_	$(	_	0	ROOT	_	_
7	14.	14.	_	ADJA	dat|sg|masc|pos	8	ATTR	_	_
8	Januar	Januar	_	NN	dat|sg|masc	5	APP	_	_
9	)	--	_	$(	_	0	ROOT	_	_
10	und	und	_	KON	_	4	KON	_	_
11	am	an	_	APPRART	dat|sg|masc	10	CJ	_	_
12	Donnerstag	Donnerstag	_	NN	dat|sg|masc	11	PN	_	_
13	(	--	_	$(	_	0	ROOT	_	_
14	17.	17.	_	ADJA	dat|sg|masc|pos	15	ATTR	_	_
15	Januar	Januar	_	NN	dat|sg|masc	12	APP	_	_
16	)	--	_	$(	_	0	ROOT	_	_
17	in	in	_	APPR	_	25	PP	_	_
18	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	17	PN	_	_
19	und	und	_	KON	_	17	KON	_	_
20	in	in	_	APPR	_	19	CJ	_	_
21	Merzig	Merzig	_	NE	dat|sg|neut	20	PN	_	_
22	insgesamt	insgesamt	_	ADV	_	23	ADV	_	_
23	4	4	_	CARD	_	24	ATTR	_	_
24	Geld·automaten	Geldautomat	_	NN	dat|pl|neut	25	OBJA	_	_
25	gesprengt	sprengen	_	VVPP	_	3	AUX	_	_
26	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Polizei	Polizei	_	NN	nom|sg|fem	3	SUBJ	_	_
3	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	:	--	_	$.	_	0	ROOT	_	_
5	Das	der	_	PDS	nom|sg|neut	6	SUBJ	_	_
6	war	sein	_	VVFIN	sg|3|past|ind	3	S	_	_
7	eine	ein	_	ART	nom|sg|fem	8	DET	_	_
8	Bande	Bande	_	NN	nom|sg|fem	6	PRED	_	_
9	,	--	_	$,	_	0	ROOT	_	_
10	die	der	_	PRELS	nom|sg|fem	16	SUBJ	_	_
11	so	so	_	ADV	_	12	ADV	_	_
12	etwas	etwas	_	PIS	*|*|neut	15	OBJA	_	_
13	schon	schon	_	ADV	_	14	ADV	_	_
14	oft	oft	_	ADV	_	15	ADV	_	_
15	gemacht	machen	_	VVPP	_	16	AUX	_	_
16	hat	haben	_	VAFIN	sg|3|pres|ind	8	REL	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|sg|fem|3	2	SUBJ	_	_
2	kommt	kommen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	aus	aus	_	APPR	_	2	PP	_	_
4	den	der	_	ART	dat|pl|*	5	DET	_	_
5	Niederlanden	Niederlande	_	NE	dat|pl|*	3	PN	_	_
6	oder	oder	_	KON	_	3	KON	_	_
7	aus	aus	_	APPR	_	6	CJ	_	_
8	Polen	Polen	_	NE	dat|sg|neut	7	PN	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Räuber	Räuber	_	NN	nom|sg|fem	3	SUBJ	_	_
3	arbeiten	arbeiten	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	immer	immer	_	ADV	_	3	ADV	_	_
