1	Drogen	Droge	_	NN	nom|pl|fem	0	S	_	_
2	:	--	_	$.	_	0	ROOT	_	_

1	Polizei	Polizei	_	NN	nom|sg|fem	2	SUBJ	_	_
2	durchsucht	durchsuchen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	Wohnungen	Wohnung	_	NN	acc|pl|fem	2	OBJA	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Niedersachsen	Niedersachsen	_	NE	dat|sg|neut	1	PN	_	_
3	war	sein	_	VAFIN	sg|3|past|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	6	DET	_	_
5	großer	groß	_	ADJA	nom|sg|masc|pos	6	ATTR	_	_
6	Polizei·einsatz	Polizei·einsatz	_	NN	nom|sg|masc	3	PRED	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	200	200	_	CARD	_	2	ATTR	_	_
2	Polizisten	Polizist	_	NN	nom|pl|masc	0	S	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	16	16	_	CARD	_	5	ATTR	_	_
5	Wohnungen	Wohnung	_	NN	acc|pl|fem	3	SUBJ	_	_
6	durchsucht	durchsuchen	_	VVPP	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Diese	dieser	_	PDAT	nom|pl|fem	3	DET	_	_
2	16	16	_	CARD	_	3	ATTR	_	_
3	Wohnungen	Wohnung	_	NN	nom|pl|fem	4	SUBJ	_	_
4	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	•	LI	_	XY	_	0	ROOT	_	_
7	In	in	_	APPR	_	4	PP	_	_
8	Hameln	Hamel	_	NN	dat|pl|fem	7	PN	_	_
9	.	--	_	$.	_	0	ROOT	_	_
10	•	LI	_	XY	_	0	ROOT	_	_
11	In	in	_	APPR	_	7	KON	_	_
12	Fischbeck	Fischbeck	_	NE	dat|sg|neut	11	PN	_	_
13	.	--	_	$.	_	0	ROOT	_	_
14	•	LI	_	XY	dat|sg|neut	0	ROOT	_	_
15	Und	und	_	KON	_	11	KON	_	_
16	in	in	_	APPR	_	15	CJ	_	_
17	Emmerthal	Emmerthal	_	NE	dat|sg|neut	16	PN	_	_
18	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	4	PP	_	_
2	den	der	_	ART	dat|pl|fem	3	DET	_	_
3	Wohnungen	Wohnung	_	NN	dat|pl|fem	1	PN	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	die	der	_	ART	nom|pl|masc	6	DET	_	_
6	Polizisten	Polizist	_	NN	nom|pl|masc	11	ETH	_	_
7	zum	zu	_	APPRART	dat|sg|neut	11	PP	_	_
8	Beispiel	Beispiel	_	NN	dat|sg|neut	7	PN	_	_
9	nach	nach	_	APPR	_	11	OBJP	_	_
10	Drogen	Droge	_	NN	dat|pl|fem	9	PN	_	_
11	gesucht	suchen	_	VVPP	_	4	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Polizei	Polizei	_	NN	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	gesagt	sagen	_	VVPP	_	3	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Wir	wir	_	PPER	nom|pl|*|1	7	SUBJ	_	_
7	ermitteln	ermitteln	_	VVFIN	pl|1|pres|ind	0	S	_	_
8	gegen	gegen	_	APPR	_	7	PP	_	_
9	12	12	_	CARD	_	10	ATTR	_	_
10	Männer	Mann	_	NN	acc|pl|masc	8	PN	_	_
11	.	--	_	$.	_	0	ROOT	_	_

