1	AKK	AKK	_	NE	nom|sg|*	2	PRED	_	_
2	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	neue	neu	_	ADJA	nom|sg|fem|pos	4	ATTR	_	_
4	CDU-Chefin	CDU-Chefin	_	NN	nom|sg|fem	2	PRED	_	_

1	Die	der	_	ART	nom|sg|fem	3	DET	_	_
2	saarländische	saarländisch	_	ADJA	nom|sg|fem|pos	3	ATTR	_	_
3	Politikerin	Politikerin	_	NN	nom|sg|fem	11	SUBJ	_	_
4	Annegret	Annegret	_	NE	nom|sg|fem	3	APP	_	_
5	Kramp-Karrenbauer	Kramp-Karrenbauer	_	NE	nom|sg|fem	4	APP	_	_
6	(	--	_	$(	_	0	ROOT	_	_
7	Abkürzung	Abkürzung	_	NN	nom|sg|fem	5	APP	_	_
8	:	--	_	$.	_	0	ROOT	_	_
9	AKK	AKK	_	NE	nom|sg|*	7	APP	_	_
10	)	--	_	$(	_	0	ROOT	_	_
11	ist	sein	_	VAFIN	sg|3|pres|ind	0	S	_	_
12	neue	neu	_	ADJA	nom|sg|fem|pos	13	ATTR	_	_
13	Chefin	Chefin	_	NN	nom|sg|fem	11	PRED	_	_
14	der	der	_	ART	gen|sg|fem	15	DET	_	_
15	Partei	Partei	_	NN	gen|sg|fem	13	GMOD	_	_
16	CDU	CDU	_	NE	nom|sg|fem	15	APP	_	_
17	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	acc|sg|neut	2	SUBJ	_	_
2	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
3	wichtige	wichtig	_	ADJA	nom|pl|*|pos	4	ATTR	_	_
4	Mitglieder	Mitglied	_	NN	nom|pl|neut	17	OBJA	_	_
5	der	der	_	ART	gen|sg|fem	6	DET	_	_
6	CDU	CDU	_	NE	gen|sg|fem	4	GMOD	_	_
7	am	an	_	APPRART	dat|sg|masc	17	PP	_	_
8	Freitag	Freitag	_	NN	dat|sg|masc	7	PN	_	_
9	(	--	_	$(	_	0	ROOT	_	_
10	7.	7.	_	ADJA	dat|sg|masc|pos	11	ATTR	_	_
11	Dezember	Dezember	_	NN	dat|sg|masc	8	APP	_	_
12	)	--	_	$(	_	0	ROOT	_	_
13	in	in	_	APPR	_	17	PP	_	_
14	der	der	_	ART	dat|sg|fem	15	DET	_	_
