1	Viel	viel	_	PIAT	*|*|*	2	ATTR	_	_
2	Fein·staub	Feinstaub	_	NN	nom|sg|*	0	S	_	_
3	an	an	_	APPR	_	2	PP	_	_
4	Silvester	Silvester	_	NN	dat|sg|neut	3	PN	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Feuer·werk	Feuerwerk	_	NN	nom|sg|neut	5	SUBJ	_	_
3	an	an	_	APPR	_	2	PP	_	_
4	Silvester	Silvester	_	NN	acc|pl|masc	3	PN	_	_
5	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
6	im	in	_	APPRART	dat|sg|neut	11	PP	_	_
7	Saarland	Saarland	_	NE	dat|sg|neut	6	PN	_	_
8	sehr	sehr	_	ADV	_	9	ADV	_	_
9	hohe	hoch	_	ADJA	acc|pl|neut|pos	10	ATTR	_	_
10	Fein·staub·werte	Feinstaubwert	_	NN	acc|pl|neut	11	OBJA	_	_
11	verursacht	verursachen	_	VVPP	_	5	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Fein·staub	Feinstaub	_	NN	nom|sg|masc	3	SUBJ	_	_
3	wurde	werden	_	VAFIN	sg|3|past|ind	0	S	_	_
4	durch	durch	_	APPR	_	11	PP	_	_
5	die	der	_	ART	acc|pl|fem	7	DET	_	_
6	explodierenden	explodierend	_	ADJA	acc|pl|fem|pos	7	ATTR	_	_
7	Feuerwerks·raketen	Feuerwerksrakete	_	NN	acc|pl|fem	4	PN	_	_
8	in	in	_	APPR	_	11	PP	_	_
9	die	der	_	ART	acc|sg|fem	10	DET	_	_
10	Luft	Luft	_	NN	acc|sg|fem	8	PN	_	_
11	gebracht	bringen	_	VVPP	_	3	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Den	der	_	ART	acc|sg|masc	3	DET	_	_
2	höchsten	hoch	_	ADJA	acc|sg|masc|sup	3	ATTR	_	_
3	Fein·staub·wert	Feinstaubwert	_	NN	acc|sg|masc	14	OBJA	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	es	es	_	PPER	nom|sg|neut|3	4	SUBJ	_	_
6	an	an	_	APPR	_	14	PP	_	_
7	Silvester	Silvester	_	NN	dat|sg|neut	6	PN	_	_
8	in	in	_	APPR	_	14	PP	_	_
9	der	der	_	ART	dat|sg|fem	11	DET	_	_
10	Mainzer	Mainzer	_	ADJA	*|*|*|pos	11	ATTR	_	_
11	Straße	Straße	_	NN	dat|sg|fem	8	PN	_	_
12	in	in	_	APPR	_	11	PP	_	_
13	Saarbrücken	Saarbrücken	_	NE	dat|sg|neut	12	PN	_	_
14	gegeben	geben	_	VVPP	_	4	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Der	der	_	ART	nom|sg|masc	2	DET	_	_
2	Wert	Wert	_	NN	nom|sg|masc	3	SUBJ	_	_
3	war	sein	_	VVFIN	sg|3|past|ind	0	S	_	_
4	fast	fast	_	ADV	_	5	ADV	_	_
5	40	40	_	CARD	_	6	ATTR	_	_
6	mal	mal	_	ADV	_	8	ADV	_	_
7	so	so	_	ADV	_	8	ADV	_	_
8	hoch	hoch	_	ADJD	pos	3	ADV	_	_
9	wie	wie	_	KOKOM	_	8	KOM	_	_
10	normalerweise	normalerweise	_	ADV	_	9	CJ	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Viel	viel	_	PIAT	*|*|*	2	ATTR	_	_
2	Fein·staub	Feinstaub	_	NN	nom|sg|neut	3	SUBJ	_	_
3	wurde	werden	_	VAFIN	sg|3|past|ind	0	S	_	_
4	auch	auch	_	ADV	_	5	ADV	_	_
5	in	in	_	APPR	_	7	PP	_	_
6	Ottweiler	Ottweiler	_	NE	dat|sg|neut	5	PN	_	_
7	gemessen	messen	_	VVPP	_	3	AUX	_	_
