1	Jeder	jeder	_	PIAT	nom|sg|masc	2	DET	_	_
2	4.	4.	_	NN	nom|sg|masc	3	SUBJ	_	_
3	bricht	brechen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	Lehre	Lehre	_	NN	acc|sg|fem	3	OBJA	_	_
5	ab	ab	_	PTKVZ	_	3	AVZ	_	_

1	Viele	vieler	_	PIAT	nom|pl|masc	3	DET	_	_
2	junge	jung	_	ADJA	nom|pl|masc|pos	3	ATTR	_	_
3	Menschen	Mensch	_	NN	nom|pl|masc	4	SUBJ	_	_
4	erlernen	erlernen	_	VVFIN	pl|3|pres|ind	0	S	_	_
5	einen	ein	_	ART	acc|sg|masc	6	DET	_	_
6	Beruf	Beruf	_	NN	acc|sg|masc	4	OBJA	_	_
7	im	in	_	APPRART	dat|sg|masc	4	PP	_	_
8	Handwerk	Handwerk	_	NN	dat|sg|masc	7	PN	_	_
9	oder	oder	_	KON	_	7	KON	_	_
10	in	in	_	APPR	_	9	CJ	_	_
11	der	der	_	ART	dat|sg|fem	12	DET	_	_
12	Industrie	Industrie	_	NN	dat|sg|fem	10	PN	_	_
13	.	--	_	$.	_	0	ROOT	_	_

1	Doch	doch	_	KON	_	0	S	_	_
2	jeder	jeder	_	PIAT	nom|sg|masc	4	DET	_	_
3	4.	4.	_	ADJA	nom|sg|masc|pos	4	ATTR	_	_
4	Auszubildende	auszubildend	_	NN	nom|sg|masc	5	SUBJ	_	_
5	beendet	beenden	_	VVFIN	sg|3|pres|ind	1	CJ	_	_
6	seine	sein	_	PPOSAT	acc|sg|fem	7	DET	_	_
7	Lehre	Lehre	_	NN	acc|sg|fem	5	OBJA	_	_
8	nicht	nicht	_	PTKNEG	_	5	ADV	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	der	der	_	ART	nom|sg|masc	5	DET	_	_
4	höchste	hoch	_	ADJA	nom|sg|masc|sup	5	ATTR	_	_
5	Wert	Wert	_	NN	nom|sg|masc	2	PRED	_	_
6	seit	seit	_	APPR	_	5	PP	_	_
7	Jahren	Jahr	_	NN	dat|pl|neut	6	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	%% Bild nl_A9 %%

1	Besonders	besonders	_	ADV	_	2	ADV	_	_
2	häufig	häufig	_	ADJD	pos	3	ADV	_	_
3	beenden	beenden	_	VVFIN	pl|3|pres|ind	0	S	_	_
4	Lehrlinge	Lehrling	_	NN	nom|pl|masc	3	SUBJ	_	_
5	im	in	_	APPRART	dat|sg|masc	4	PP	_	_
6	Sicherheits-Gewerbe	Sicherheitsgewerbe	_	NN	dat|sg|masc	5	PN	_	_
7	vorzeitig	vorzeitig	_	ADJD	pos	3	ADV	_	_
8	ihre	ihr	_	PPOSAT	acc|sg|fem	9	DET	_	_
