1	AfD	AfD	_	NE	nom|sg|masc	2	ATTR	_	_
2	Spenden-Skandal	Spendenskandal	_	NN	nom|sg|masc	0	S	_	_

1	Der	der	_	ART	dat|sg|fem	2	DET	_	_
2	Partei	Partei	_	NN	dat|sg|fem	7	OBJD	_	_
3	AfD	AfD	_	NE	gen|sg|*	2	APP	_	_
4	wurde	werden	_	VAFIN	sg|3|past|ind	0	S	_	_
5	viel	viel	_	PIAT	*|*|*	6	ATTR	_	_
6	Geld	Geld	_	NN	acc|sg|neut	4	SUBJ	_	_
7	gespendet	spenden	_	VVPP	_	4	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Geld	Geld	_	NN	nom|sg|neut	3	SUBJ	_	_
3	kam	kommen	_	VVFIN	sg|3|past|ind	0	S	_	_
4	aus	aus	_	APPR	_	3	PP	_	_
5	dem	der	_	ART	dat|sg|neut	6	DET	_	_
6	Ausland	Ausland	_	NN	dat|sg|neut	4	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	In	in	_	APPR	_	3	PP	_	_
2	Deutschland	Deutschland	_	NE	dat|sg|neut	1	PN	_	_
3	sind	sein	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	große	groß	_	ADJA	nom|pl|fem|pos	5	ATTR	_	_
5	Partei-Spenden	Parteispende	_	NN	nom|pl|fem	6	SUBJ	_	_
6	verboten	verbieten	_	VVPP	_	3	AUX	_	_
7	,	--	_	$,	_	0	ROOT	_	_
8	wenn	wenn	_	KOUS	_	12	KONJ	_	_
9	sie	sie	_	PPER	nom|sg|fem|3	12	SUBJ	_	_
10	aus	aus	_	APPR	_	12	PP	_	_
11	Ländern	Land	_	NN	dat|pl|neut	10	PN	_	_
12	kommen	kommen	_	VVFIN	_	3	NEB	_	_
13	,	--	_	$,	_	0	ROOT	_	_
14	die	der	_	PRELS	nom|pl|neut	20	SUBJ	_	_
15	nicht	nicht	_	PTKNEG	_	20	ADV	_	_
16	zu	zu	_	APPR	_	20	OBJP	_	_
17	der	der	_	ART	dat|sg|fem	19	DET	_	_
18	Europäischen	europäisch	_	ADJA	dat|sg|fem|pos	19	ATTR	_	_
19	Union	Union	_	NN	dat|sg|fem	16	PN	_	_
20	gehören	gehören	_	VVFIN	pl|3|pres|ind	11	REL	_	_
21	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	PP	_	_
2	gibt	geben	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	es	es	_	PPER	nom|sg|neut|3	2	SUBJ	_	_
4	jetzt	jetzt	_	ADV	_	2	ADV	_	_
5	Streit	Streit	_	NN	acc|sg|masc	2	OBJA	_	_
6	.	--	_	$.	_	0	ROOT	_	%% Bild nl_A3 %%

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Partei	Partei	_	NN	nom|sg|fem	4	SUBJ	_	_
3	AfD	AfD	_	NE	nom|sg|fem	2	APP	_	_
4	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
5	von	von	_	APPR	_	14	PP	_	_
6	einer	ein	_	ART	dat|sg|fem	7	DET	_	_
7	Firma	Firma	_	NN	dat|sg|fem	5	PN	_	_
8	aus	aus	_	APPR	_	7	PP	_	_
9	dem	der	_	ART	dat|sg|neut	10	DET	_	_
10	Land	Land	_	NN	dat|sg|neut	8	PN	_	_
11	Schweiz	Schweiz	_	NE	nom|*|*	10	APP	_	_
12	130000	130000	_	CARD	_	13	ATTR	_	_
13	Euro	Euro	_	NN	acc|sg|neut	14	OBJA	_	_
14	erhalten	erhalten	_	VVPP	_	4	AUX	_	_
15	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Gesetz	Gesetz	_	NN	nom|sg|neut	3	SUBJ	_	_
3	sagt	sagen	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	aber	aber	_	ADV	_	3	ADV	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Parteien	Partei	_	NN	nom|pl|fem	9	SUBJ	_	_
7	in	in	_	APPR	_	6	PP	_	_
8	Deutschland	Deutschland	_	NE	dat|sg|neut	7	PN	_	_
9	dürfen	dürfen	_	VMFIN	pl|3|pres|ind	3	S	_	_
10	keine	kein	_	PIAT	nom|pl|fem	11	DET	_	_
11	Spenden	Spende	_	NN	nom|pl|fem	12	OBJA	_	_
12	annehmen	annehmen	_	VVINF	_	9	AUX	_	_
13	,	--	_	$,	_	0	ROOT	_	_
14	wenn	wenn	_	KOUS	_	18	KONJ	_	_
15	sie	sie	_	PPER	nom|sg|fem|3	18	SUBJ	_	_
16	aus	aus	_	APPR	_	18	PP	_	_
17	Ländern	Land	_	NN	dat|pl|neut	16	PN	_	_
18	kommen	kommen	_	VVFIN	_	9	NEB	_	_
19	,	--	_	$,	_	0	ROOT	_	_
20	die	der	_	PRELS	nom|pl|neut	25	SUBJ	_	_
21	nicht	nicht	_	PTKNEG	_	25	ADV	_	_
22	zu	zu	_	APPR	_	25	OBJP	_	_
23	der	der	_	ART	dat|sg|fem	24	DET	_	_
24	EU	EU	_	NE	dat|sg|fem	22	PN	_	_
25	gehören	gehören	_	VVFIN	pl|3|pres|ind	17	REL	_	_
26	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Schweiz	Schweiz	_	NE	nom|sg|fem	3	SUBJ	_	_
3	gehört	gehören	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	nicht	nicht	_	PTKNEG	_	3	ADV	_	_
5	zu	zu	_	APPR	_	3	OBJP	_	_
6	der	der	_	ART	dat|sg|fem	7	DET	_	_
7	EU	EU	_	NE	dat|sg|fem	5	PN	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Geld	Geld	_	NN	nom|sg|neut	8	OBJA	_	_
3	hätte	haben	_	VAFIN	sg|3|past|subj	0	S	_	_
4	die	der	_	ART	nom|sg|fem	5	DET	_	_
5	AfD	AfD	_	NE	nom|sg|fem	3	SUBJ	_	_
6	sofort	sofort	_	ADV	_	8	ADV	_	_
7	zurück	zurück	_	ADV	_	8	ADV	_	_
8	zahlen	zahlen	_	VVINF	_	9	AUX	_	_
9	müssen	müssen	_	VMINF	pl|3|pres|ind	3	AUX	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	6	OBJA	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	acc|*|*|3	2	SUBJ	_	_
4	aber	aber	_	ADV	_	6	ADV	_	_
5	nicht	nicht	_	PTKNEG	_	6	ADV	_	_
6	gemacht	machen	_	VVPP	_	2	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Außerdem	außerdem	_	PROAV	_	2	PP	_	_
2	hätte	haben	_	VAFIN	sg|3|past|subj	0	S	_	_
3	die	der	_	ART	nom|sg|fem	4	DET	_	_
4	AfD	AfD	_	NE	nom|sg|fem	2	SUBJ	_	_
5	die	der	_	ART	acc|sg|fem	6	DET	_	_
6	Spende	Spende	_	NN	acc|sg|fem	9	OBJA	_	_
7	dem	der	_	ART	dat|sg|masc	8	DET	_	_
8	Bundestag	Bundestag	_	NN	dat|sg|masc	9	OBJD	_	_
9	melden	melden	_	VVINF	_	10	AUX	_	_
10	müssen	müssen	_	VMINF	_	2	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Auch	auch	_	ADV	_	2	ADV	_	_
2	das	der	_	PDS	nom|sg|neut	6	OBJA	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	sie	sie	_	PPER	acc|*|*|3	3	SUBJ	_	_
5	nicht	nicht	_	PTKNEG	_	6	ADV	_	_
6	getan	tun	_	VVPP	_	3	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Politiker	Politiker	_	NN	nom|pl|masc	5	SUBJ	_	_
2	von	von	_	APPR	_	1	PP	_	_
3	anderen	anderer	_	ADJA	dat|pl|fem|pos	4	ATTR	_	_
4	Parteien	Partei	_	NN	dat|pl|fem	2	PN	_	_
5	kritisieren	kritisieren	_	VVFIN	pl|3|pres|ind	0	S	_	_
6	die	der	_	ART	nom|sg|fem	7	DET	_	_
7	AfD	AfD	_	NE	nom|sg|fem	5	OBJA	_	_
8	deshalb	deshalb	_	PROAV	_	5	PP	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|pl|*|3	2	SUBJ	_	_
2	sagen	sagen	_	VVFIN	pl|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Die	der	_	ART	nom|sg|fem	5	DET	_	_
5	AfD	AfD	_	NE	nom|sg|fem	6	SUBJ	_	_
6	hat	haben	_	VAFIN	sg|3|pres|ind	2	S	_	_
7	gegen	gegen	_	APPR	_	10	OBJP	_	_
8	das	der	_	ART	acc|sg|neut	9	DET	_	_
9	Gesetz	Gesetz	_	NN	acc|sg|neut	7	PN	_	_
10	verstoßen	verstoßen	_	VVPP	_	6	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	PP	_	_
2	will	wollen	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	die	der	_	ART	nom|sg|fem	4	DET	_	_
4	Staats-Anwaltschaft	Staatsanwaltschaft	_	NN	nom|sg|fem	2	SUBJ	_	_
5	jetzt	jetzt	_	ADV	_	6	ADV	_	_
6	ermitteln	ermitteln	_	VVINF	_	2	AUX	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Die	Die	_	ART	nom|sg|fem	2	DET	_	_
2	AfD	AfD	_	NE	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	auch	auch	_	ADV	_	5	ADV	_	_
5	aus	aus	_	APPR	_	11	PP	_	_
6	dem	der	_	ART	dat|sg|neut	7	DET	_	_
7	Land	Land	_	NN	dat|sg|neut	5	PN	_	_
8	Niederlande	Niederlande	_	NE	nom|sg|neut	7	APP	_	_
9	eine	ein	_	ART	acc|sg|fem	10	DET	_	_
10	Spende	Spende	_	NN	acc|sg|fem	11	OBJA	_	_
11	erhalten	erhalten	_	VVPP	_	3	AUX	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	ART	nom|sg|neut	2	DET	_	_
2	Geld	Geld	_	NN	nom|sg|neut	3	SUBJ	_	_
3	kam	kommen	_	VVFIN	sg|3|past|ind	0	S	_	_
4	von	von	_	APPR	_	3	PP	_	_
5	einer	ein	_	ART	dat|sg|fem	6	DET	_	_
6	Stiftung	Stiftung	_	NN	dat|sg|fem	4	PN	_	_
7	.	--	_	$.	_	0	ROOT	_	_

1	Partei-Spenden	Parteispende	_	NN	nom|pl|masc	6	SUBJ	_	_
2	aus	aus	_	APPR	_	1	PP	_	_
3	dem	der	_	ART	dat|sg|neut	4	DET	_	_
4	EU-Land	EU-Land	_	NN	dat|sg|neut	2	PN	_	_
5	Niederlande	Niederlande	_	NE	dat|sg|neut	4	APP	_	_
6	verstoßen	verstoßen	_	VVFIN	pl|3|pres|ind	0	S	_	_
7	nicht	nicht	_	PTKNEG	_	6	ADV	_	_
8	grundsätzlich	grundsätzlich	_	ADJD	pos	6	ADV	_	_
9	gegen	gegen	_	APPR	_	6	OBJP	_	_
10	das	der	_	ART	acc|sg|neut	11	DET	_	_
11	Gesetz	Gesetz	_	NN	acc|sg|neut	9	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Aber	aber	_	KON	_	0	S	_	_
2	Spenden	Spende	_	NN	acc|sg|masc	6	SUBJ	_	_
3	aus	aus	_	APPR	_	2	PP	_	_
4	einem	ein	_	ART	dat|sg|neut	5	DET	_	_
5	EU-Land	EU-Land	_	NN	dat|sg|neut	3	PN	_	_
6	müssen	müssen	_	VMFIN	pl|3|pres|ind	1	CJ	_	_
7	dem	der	_	ART	dat|sg|masc	8	DET	_	_
8	Bundestag	Bundestag	_	NN	dat|sg|masc	9	OBJD	_	_
9	gemeldet	melden	_	VVPP	_	10	AUX	_	_
10	werden	werden	_	VAINF	_	6	AUX	_	_
11	,	--	_	$,	_	0	ROOT	_	_
12	wenn	wenn	_	KOUS	_	18	KONJ	_	_
13	sie	sie	_	PPER	nom|pl|fem|3	18	SUBJ	_	_
14	mehr	mehr	_	ADV	*|*|*	16	ADV	_	_
15	als	als	_	KOKOM	_	14	KOM	_	_
16	50000	50000	_	CARD	_	17	ATTR	_	_
17	Euro	Euro	_	NN	*|*|neut	18	OBJA	_	_
18	betragen	betragen	_	VVFIN	_	6	NEB	_	_
19	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	AfD	AfD	_	NE	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	aber	aber	_	ADV	_	10	ADV	_	_
5	erst	erst	_	ADV	_	10	ADV	_	_
6	sehr	sehr	_	ADV	_	7	ADV	_	_
7	spät	spät	_	ADJD	pos	10	ADV	_	_
8	die	der	_	ART	nom|sg|fem	9	DET	_	_
9	Spende	Spende	_	NN	nom|sg|fem	10	OBJA	_	_
10	gemeldet	melden	_	VVPP	_	3	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Beide	beide	_	PIAT	nom|pl|fem	2	DET	_	_
2	Spenden	Spende	_	NN	nom|pl|fem	3	SUBJ	_	_
3	gingen	gehen	_	VVFIN	pl|3|past|ind	0	S	_	_
4	an	an	_	APPR	_	3	PP	_	_
5	den	der	_	ART	acc|sg|masc	6	DET	_	_
6	AfD-Kreis-Verband	AfD-Kreisverband	_	NN	acc|sg|masc	4	PN	_	_
7	am	an	_	APPRART	dat|sg|neut	6	PP	_	_
8	Bodensee	Bodensee	_	NE	dat|sg|neut	7	PN	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Das	der	_	PDS	nom|sg|neut	2	SUBJ	_	_
2	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	der	der	_	ART	nom|sg|masc	4	DET	_	_
4	Verband	Verband	_	NN	nom|sg|masc	2	PRED	_	_
5	,	--	_	$,	_	0	ROOT	_	_
6	in	in	_	APPR	_	13	PP	_	_
7	dem	der	_	PRELS	dat|sg|neut	6	PN	_	_
8	die	der	_	ART	nom|sg|fem	9	DET	_	_
9	AfD-Politikerin	AfD-Politikerin	_	NN	nom|sg|fem	13	SUBJ	_	_
10	Alice	Alice	_	NE	nom|sg|fem	9	APP	_	_
11	Weidel	Weidel	_	NE	nom|sg|fem	10	APP	_	_
12	Mitglied	Mitglied	_	NN	nom|sg|neut	13	PRED	_	_
13	ist	sein	_	VVFIN	sg|3|pres|ind	4	REL	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Politiker	Politiker	_	NN	nom|pl|masc	5	SUBJ	_	_
2	von	von	_	APPR	_	1	PP	_	_
3	anderen	anderer	_	ADJA	dat|pl|fem|pos	4	ATTR	_	_
4	Parteien	Partei	_	NN	dat|pl|fem	2	PN	_	_
5	sagen	sagen	_	VVFIN	_	0	S	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	Alice	Alice	_	NE	nom|sg|masc	9	SUBJ	_	_
8	Weidel	Weidel	_	NE	nom|sg|masc	7	APP	_	_
9	hat	haben	_	VAFIN	sg|3|pres|ind	5	S	_	_
10	von	von	_	APPR	_	13	OBJP	_	_
11	den	der	_	ART	dat|pl|*	12	DET	_	_
12	Spenden	Spende	_	NN	dat|pl|*	10	PN	_	_
13	gewusst	wissen	_	VVPP	_	9	AUX	_	_
14	.	--	_	$.	_	0	ROOT	_	_

1	Deshalb	deshalb	_	PROAV	_	2	PP	_	_
2	muss	muss	_	VMFIN	sg|3|pres|ind	0	S	_	_
3	sie	sie	_	PPER	nom|sg|fem|3	2	SUBJ	_	_
4	zurück	zurück	_	PTKVZ	_	5	AVZ	_	_
5	treten	treten	_	VVINF	_	2	AUX	_	_
6	.	--	_	$.	_	0	ROOT	_	_

1	Die	die	_	ART	nom|sg|fem	2	DET	_	_
2	AfD	AfD	_	NE	nom|sg|fem	3	SUBJ	_	_
3	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	nicht	nicht	_	PTKNEG	_	3	ADV	_	_
5	die	der	_	ART	nom|sg|fem	7	DET	_	_
6	einzige	einzig	_	ADJA	nom|sg|fem|pos	7	ATTR	_	_
7	Partei	Partei	_	NN	nom|sg|fem	3	PRED	_	_
8	mit	mit	_	APPR	_	7	PP	_	_
9	Ärger	Ärger	_	NN	dat|sg|masc	8	PN	_	_
10	um	um	_	APPR	_	9	PP	_	_
11	Spenden	Spende	_	NN	acc|pl|fem	10	PN	_	_
12	.	--	_	$.	_	0	ROOT	_	_

1	Auch	auch	_	ADV	_	3	ADV	_	_
2	andere	anderer	_	ADJA	acc|pl|fem|pos	3	ATTR	_	_
3	Parteien	Partei	_	NN	acc|pl|fem	4	SUBJ	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	schon	schon	_	ADV	_	7	ADV	_	_
6	Spenden-Skandale	Spendenskandal	_	NN	acc|pl|fem	7	OBJA	_	_
7	gehabt	haben	_	VVPP	_	4	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	AfD	AfD	_	NE	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	aber	aber	_	ADV	_	6	ADV	_	_
5	oft	oft	_	ADV	_	6	ADV	_	_
6	gesagt	sagen	_	VVPP	_	3	AUX	_	_
7	:	--	_	$.	_	0	ROOT	_	_
8	wir	wir	_	PPER	nom|pl|*|1	9	SUBJ	_	_
9	sind	sein	_	VVFIN	pl|1|pres|ind	6	S	_	_
10	da	da	_	ADV	_	9	ADV	_	_
11	besser	gut	_	ADJD	comp	9	PRED	_	_
12	als	als	_	KOKOM	_	11	KOM	_	_
13	die	der	_	ART	nom|pl|fem	15	DET	_	_
14	alten	alt	_	ADJA	nom|pl|fem|pos	15	ATTR	_	_
15	Parteien	Partei	_	NN	nom|pl|fem	12	CJ	_	_
16	.	--	_	$.	_	0	ROOT	_	_
