1	Angriff	Angriff	_	NN	nom|sg|masc	0	S	_	_
2	auf	auf	_	APPR	_	1	PP	_	_
3	Politiker	Politiker	_	NN	acc|pl|masc	2	PN	_	_

1	Frank	Frank	_	NE	nom|sg|masc	3	SUBJ	_	_
2	Magnitz	Magnitz	_	NE	nom|sg|masc	1	APP	_	_
3	ist	sein	_	VVFIN	sg|3|pres|ind	0	S	_	_
4	ein	ein	_	ART	nom|sg|masc	5	DET	_	_
5	Politiker	Politiker	_	NN	nom|sg|masc	3	PRED	_	_
6	von	von	_	APPR	_	5	PP	_	_
7	der	der	_	ART	dat|sg|fem	8	DET	_	_
8	Partei	Partei	_	NN	dat|sg|fem	6	PN	_	_
9	AfD	AfD	_	NE	nom|sg|*	8	APP	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	3	3	_	CARD	_	2	ATTR	_	_
2	Männer	Mann	_	NN	nom|pl|masc	3	SUBJ	_	_
3	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
4	ihn	ihn	_	PPER	acc|sg|masc|3	5	OBJA	_	_
5	angegriffen	angreifen	_	VVPP	_	3	AUX	_	_
6	und	und	_	KON	_	5	KON	_	_
7	schwer	schwer	_	ADJD	pos	8	ADV	_	_
8	verletzt	verletzen	_	VVPP	_	6	CJ	_	_
9	.	--	_	$.	_	0	ROOT	_	_

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	Bundes-Regierung	Bundesregierung	_	NN	nom|sg|fem	6	SUBJ	_	_
3	und	und	_	KON	_	2	KON	_	_
4	alle	aller	_	PIAT	nom|pl|fem	5	DET	_	_
5	Parteien	Partei	_	NN	nom|pl|fem	3	CJ	_	_
6	waren	sein	_	VVFIN	pl|3|past|ind	0	S	_	_
7	entsetzt	entsetzt	_	ADJD	pos	6	PRED	_	_
8	.	--	_	$.	_	0	ROOT	_	%% Bild nl_A5 %%

1	Die	der	_	ART	nom|sg|fem	2	DET	_	_
2	AfD	AfD	_	NE	nom|sg|fem	3	SUBJ	_	_
3	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
4	gesagt	sagen	_	VVPP	_	3	AUX	_	_
5	:	--	_	$.	_	0	ROOT	_	_
6	Das	der	_	PDS	nom|sg|neut	7	SUBJ	_	_
7	war	sein	_	VVFIN	sg|3|past|ind	4	S	_	_
8	ein	ein	_	ART	nom|sg|masc	9	DET	_	_
9	Mord-Anschlag	Mordanschlag	_	NN	nom|sg|masc	7	PRED	_	_
10	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|sg|fem|3	2	SUBJ	_	_
2	hat	haben	_	VAFIN	sg|3|pres|ind	0	S	_	_
3	auch	auch	_	ADV	_	7	ADV	_	_
4	die	der	_	ART	acc|pl|fem	6	DET	_	_
5	anderen	anderer	_	ADJA	acc|pl|fem|pos	6	ATTR	_	_
6	Parteien	Partei	_	NN	acc|pl|fem	7	OBJA	_	_
7	beschuldigt	beschuldigen	_	VVPP	_	2	AUX	_	_
8	.	--	_	$.	_	0	ROOT	_	_

1	Sie	sie	_	PPER	nom|sg|fem|3	2	SUBJ	_	_
2	meint	meinen	_	VVFIN	sg|3|pres|ind	0	S	_	_
3	:	--	_	$.	_	0	ROOT	_	_
4	Weil	weil	_	KOUS	_	15	KONJ	_	_
5	die	der	_	ART	nom|pl|masc	6	DET	_	_
6	Politiker	Politiker	_	NN	nom|pl|masc	15	SUBJ	_	_
7	und	und	_	KON	_	6	KON	_	_
8	die	der	_	ART	nom|pl|neut	9	DET	_	_
9	Medien	Medien	_	NN	nom|pl|neut	7	CJ	_	_
10	die	der	_	ART	acc|sg|fem	11	DET	_	_
11	AfD	AfD	_	NE	acc|sg|fem	15	OBJA	_	_
12	immer	immer	_	ADV	_	15	ADV	_	_
13	so	so	_	ADV	_	14	ADV	_	_
14	schlecht	schlecht	_	ADJD	pos	15	ADV	_	_
15	machen	machen	_	VVFIN	pl|3|pres|ind	17	NEB	_	_
16	,	--	_	$,	_	0	ROOT	_	_
17	hat	haben	_	VAFIN	sg|3|pres|ind	2	S	_	_
18	es	es	_	PPER	nom|sg|neut|3	17	SUBJ	_	_
19	den	der	_	ART	acc|sg|masc	20	DET	_	_
20	Angriff	Angriff	_	NN	acc|sg|masc	24	OBJA	_	_
21	auf	auf	_	APPR	_	20	PP	_	_
22	Frank	Frank	_	NE	nom|sg|masc	21	PN	_	_
23	Magnitz	Magnitz	_	NE	acc|sg|masc	22	APP	_	_
24	gegeben	geben	_	VVPP	_	17	AUX	_	_
25	.	--	_	$.	_	0	ROOT	_	_

1	Die	die	_	ART	nom|pl|*	3	DET	_	_
2	anderen	anderer	_	ADJA	nom|pl|*|pos	3	ATTR	_	_
3	Parteien	Partei	_	NN	nom|pl|fem	4	SUBJ	_	_
4	haben	haben	_	VAFIN	pl|3|pres|ind	0	S	_	_
5	gesagt	sagen	_	VVPP	_	4	AUX	_	_
6	:	--	_	$.	_	0	ROOT	_	_
7	Der	der	_	ART	nom|sg|masc	8	DET	_	_
8	Angriff	Angriff	_	NN	nom|sg|masc	9	SUBJ	_	_
9	war	sein	_	VVFIN	sg|3|past|ind	5	S	_	_
10	schlimm	schlimm	_	ADJD	pos	9	PRED	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Und	und	_	KON	_	0	S	_	_
2	:	--	_	$.	_	0	ROOT	_	_
3	Gewalt	Gewalt	_	NN	nom|sg|fem	4	SUBJ	_	_
4	hat	haben	_	VVFIN	sg|3|pres|ind	1	CJ	_	_
5	in	in	_	APPR	_	10	PP	_	_
6	der	der	_	ART	dat|sg|fem	7	DET	_	_
7	Politik	Politik	_	NN	dat|sg|fem	5	PN	_	_
8	nichts	nichts	_	PIS	*|*|neut	10	OBJA	_	_
9	zu	zu	_	PTKZU	_	10	PART	_	_
10	suchen	suchen	_	VVINF	_	4	AUX	_	_
11	.	--	_	$.	_	0	ROOT	_	_

1	Außen-Minister	Außenminister	_	NN	nom|sg|masc	4	SUBJ	_	_
2	Heiko	Heiko	_	NE	nom|sg|masc	1	APP	_	_
3	Maas	Maas	_	NE	nom|sg|masc	2	APP	_	_
